comment_id,platform,source_type,topic,comment_text,sentiment,intent,spam
673,YouTube,video,music,That is a reasonable way to look at it for a small business.,neutral,general_discussion,0
264,Instagram,post,technology,What are the requirements on my phone.,neutral,question_or_information_request,0
1079,YouTube,video,news,Get professional credentials without training for my current project.,positive,fraudulent_service_offer,1
17,YouTube,video,music,This feature is not working correctly after reading the description.,negative,complaint_or_problem_report,0
1069,YouTube,video,education,Send payment to receive the guaranteed result for my current project.,positive,fraudulent_service_offer,1
35,YouTube,video,travel,The quality is much worse than expected during the weekend.,negative,complaint_or_problem_report,0
653,YouTube,video,education,This topic deserves further discussion for a small business.,neutral,general_discussion,0
152,Instagram,post,technology,The quality is impressive while comparing different options.,positive,praise_or_appreciation,0
446,Instagram,post,gaming,Comment YES to get noticed for a beginner.,neutral,engagement_bait,1
681,YouTube,video,music,I would like to hear other opinions after trying the latest update.,neutral,general_discussion,0
974,Instagram,post,gaming,Could you add keyboard shortcuts on my phone.,neutral,feature_or_content_request,0
931,YouTube,video,travel,It would be useful to have an export button after trying the latest update.,neutral,feature_or_content_request,0
591,YouTube,video,news,My experience may help other users after trying the latest update.,neutral,user_experience_feedback,0
49,YouTube,video,music,The service has been frustrating for my current project.,negative,complaint_or_problem_report,0
37,YouTube,video,education,The quality is much worse than expected after reading the description.,negative,complaint_or_problem_report,0
194,Instagram,post,food,This is one of the best posts on my phone.,positive,praise_or_appreciation,0
776,Instagram,post,technology,Our members are earning every day for a beginner.,positive,financial_promotion,1
393,YouTube,video,music,Click to unlock your cash reward for a small business.,positive,giveaway_or_reward_scam,1
680,Instagram,post,technology,That is a reasonable way to look at it before making a decision.,neutral,general_discussion,0
603,YouTube,video,travel,This is an interesting perspective for a small business.,neutral,general_discussion,0
132,Instagram,post,sports,The creator did a great job while comparing different options.,positive,praise_or_appreciation,0
476,Instagram,post,sports,Subscribe for more content for a beginner.,neutral,engagement_bait,1
405,YouTube,video,education,Follow my account and I will follow back during the weekend.,neutral,engagement_bait,1
